,Comments
159,"b'@AppleSupport doesn\xe2\x80\x99t send everything you need when you order replacement parts. Ordered a replacement beats pro earphone, Fitbit in the mail with out the rubber ear pieces. If I\xe2\x80\x99m ordering for a lost earphone don\xe2\x80\x99t you think I would need that? Be very careful.'"
160,b'And you wonder why some of us want this app shut down!!!! \xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac\xf0\x9f\xa4\xac@grindr @AppleSupport @hackerone There\xe2\x80\x99s fuck all security on this app!!! @PinkNews @fbi @JoeBiden @VP https://t.co/eeJIXReWx5'
161,b'@AppleSupport @bilger_michael Ad in german but support in english only. How funny :)'
162,b'@AubreeBowenSays @Apple @AppleSupport I knowwww. I was SO ANNOYED.'
163,b'RT @AppleSupport: Search for an animal \xf0\x9f\x90\xa7\xf0\x9f\xa6\x89\xf0\x9f\xa6\xa9\nA feeling \xf0\x9f\x98\x84\xf0\x9f\xa4\x97\xf0\x9f\xa5\xb3\nEven a color \xf0\x9f\x9a\xa8\xf0\x9f\x8c\xb6\xf0\x9f\x8c\xb9\n\nFind the perfect way to express yourself. Here\xe2\x80\x99s how to search f\xe2\x80\xa6'
164,b'@marcoarment @AppleSupport So i can\xe2\x80\x99t even dismiss in bulk as notification center is pop\xe2\x80\x99d under and hidden. I have to clear one by one. The angles weep for us: https://t.co/qWPfKON01A'
165,b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger On my phone you could see the video on the background but nothing showed up on the screenshot https://t.co/rpLXOpwuuq'
166,"b'@AppleSupport Dear Team, my iPhone showing all the time memory is full and I m unable to open any of the apps even though I cleared everything ! Please help me out and my model is iPhone 6s.'"
167,"b'@AppleSupport I am absolutely shocked at horribly my experience with Apple has gone so far.  I literally have no options. @EA and @Apple have basically taken my money, given me nothing, and said it can\xe2\x80\x99t be fixed. #Apple'"
168,b'@marcoarment And @AppleSupport wonders why we hate Big Sur notification UI changes: https://t.co/LS5xMoZN15'
169,b'How silly of me to think that my new $1100 phone would come with AirPods and not the same headphones I\xe2\x80\x99ve had for like 7 years. Thanks @Apple \xf0\x9f\x99\x84 @AppleSupport'
170,"b'Oh, fucking wonderful. Just got disconnected. @AppleSupport, you truly do suck. https://t.co/MlKOqnGMDF'"
171,b'@AppleSupport @tim_cook @EpicGames @FortniteGame GIVE YOUR CUSTOMERS FORTNITE BACK.'
172,b'Day #7 of tweeting @AppleSupport still no reply and no answer to my question.'
173,b'RT @AppleSupport: Search for an animal \xf0\x9f\x90\xa7\xf0\x9f\xa6\x89\xf0\x9f\xa6\xa9\nA feeling \xf0\x9f\x98\x84\xf0\x9f\xa4\x97\xf0\x9f\xa5\xb3\nEven a color \xf0\x9f\x9a\xa8\xf0\x9f\x8c\xb6\xf0\x9f\x8c\xb9\n\nFind the perfect way to express yourself. Here\xe2\x80\x99s how to search f\xe2\x80\xa6'
174,b'@AppleSupport whenever i try getting a free game it says i must use a credit card or payment method'
175,"b'@AppleSupport Paid 4 Jan 2021  \xe2\x82\xac +1,600 for an iPhone 12 ProMax. After 50 calls 12 emails 2 months 5 days still I do not have an invoice.\nWhat a great smart company is yours that drive customers crazy.\nCongratulations for your great efficiency.\n#iPhone\n#Apple\n#Appleinc\n#CustomerCare'"
176,"b""@CJamesKitto @Apple @AppleSupport Try out 'hubunlock' on Instagram to get it unlocked they helped me out with mine"""
177,"b""@AppleSupport I don't know what's going on with AirPods but they are hardly working after macOS 11.2.3. If I pause a video and come back to it, it will not play through my headphones. I have to disconnect them and reconnect them every time."""
178,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger Now he's a neat trick, 2 media views despite zero impressions https://t.co/0a3ENlKpah"""
179,"b""@AppleSupport @Apple Replaced broken iPhone 6s and cannot continue setup b/c it won't connect to WiFi. Can Someone help or tell me where I can get it from?"""
180,"b'@AppleSupport Like, honestly. I should be able to workout in the winter without worrying about the sleeve stopping my workouts. It\xe2\x80\x99s ridiculous. Or having to try and figure out how to \xe2\x80\x9cwear the watch differently.\xe2\x80\x9d'"
181,"b'@AppleSupport I\xe2\x80\x99ve been dealing with issues on this watch for months. The agent is finally agreeing to bring it in for servicing. I\xe2\x80\x99ve never been so disappointed in my interactions with Apple as I have been over this watch. 10 months of issues, and 10 months of dodging.'"
182,"b'@AppleSupport agent telling me to wear my Apple Watch differently in the winter, in Canada, because my Apple Watch touching the lining of my winter coat is PAUSING MY WORKOUTS.'"
183,b'Is this normal after 4 months owning my new iPhone my battery health has gone to 96%\nWTF!\n@AppleSupport is this normal my old iPhone didn\xe2\x80\x99t go down this fast! https://t.co/DjnWKqLtab'
184,b'RT @AppleSupport: Search for an animal \xf0\x9f\x90\xa7\xf0\x9f\xa6\x89\xf0\x9f\xa6\xa9\nA feeling \xf0\x9f\x98\x84\xf0\x9f\xa4\x97\xf0\x9f\xa5\xb3\nEven a color \xf0\x9f\x9a\xa8\xf0\x9f\x8c\xb6\xf0\x9f\x8c\xb9\n\nFind the perfect way to express yourself. Here\xe2\x80\x99s how to search f\xe2\x80\xa6'
185,b'.@AppleSupport if you\xe2\x80\x99re on an iphoneX done update to iOS 14.4.1. Messaging emotes is completely broken. How\xe2\x80\x99d they miss this? Happening on both iPhone X\xe2\x80\x99s. https://t.co/9J4nB7X29M'
186,"b'@Apple I was VERY disappointed with @AppleSupport.  I have a very simple issue, but it\xe2\x80\x99s like your techs do not understand the issue and are doing nothing about it.  I have 2 iPads that are exactly the same.  They were both purchased at the same time from the same store.'"
187,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger I warned them to stop with that incessant hacking and harassment. I'm not even going to bother re-sending these hacks that he blocked.. https://t.co/Y28NAKVjkZ"""
188,b'@AppleSupport Maybe it\xe2\x80\x99s due on the 3rd August though...'
189,b'@AppleSupport I\xe2\x80\x99ve lost all the notes on my phone I logged out my emails and logged back in and nothings helping? My whole life\xe2\x80\x99s on my notes I need them back pleaseeee'
190,b'@AppleSupport so you guys don\xe2\x80\x99t put the adapter and the headphones in the boxes when you get a new phone?! As a long time  iPhone consumer I\xe2\x80\x99m disappointed and I want to return my phone and go with @SamsungMobile \n&amp; I can\xe2\x80\x99t even use my old one as you guys changed it to USB-C port'
191,b'@LuSchmoo @AppleSupport I know'
192,b'@AppleSupport The problem was solved thanks :)'
193,"b'Hey @Apple @AppleSupport\n\nMy cell phone is heating up, what do I do? \xf0\x9f\x98\x95'"
194,"b'@AppleSupport Hi, I have an iPhone 7 and just accidentally deleted all my iMessages to and from a contact. I have messages saved in iCloud drive. How do I access them? Can I put them back on my phone?'"
195,b'@AppleSupport Very disappointed that HomePod has died after only 3 years. I know it\xe2\x80\x99s out of warranty but I would have expected more from a $500 speaker \xf0\x9f\x98\xa9'
196,"b'@AppleSupport I was VERY disappointed with Apple Support.  I have a very simple issue, but it\xe2\x80\x99s like your techs do not understand the issue and are doing nothing about it.  I have 2 iPads that are exactly the same.  They were both purchased at the same time from the same store.'"
197,"b'@AppleSupport This is amazing. Not only have my headphones that won\xe2\x80\x99t connect to 5 different devices not been repaired, but now they are being delivered to my house in the past. They are apparently in transit and due to arrive last Monday morning. Your driver\xe2\x80\x99s name is McFly. https://t.co/nAZ9kDQSsl'"
198,b'I love that #AppleWatch 6 taps my wrist to wake me up every morning. A gentle touch. @Apple @AppleSupport \xf0\x9f\xa5\xb0\xe2\x99\xa5\xef\xb8\x8f\xe2\x8c\x9a\xef\xb8\x8f'
199,b'@AppleSupport i am once again asking you to fix the imessage problem on my macbook. why do i keep getting kicked out after i log in'
200,b'@AppleSupport please provide the contact for VP of operations for north America. Terrible Terrible Terrible experience'
201,b'@shanepryde20 @AppleSupport help'
202,b'RT @AppleSupport: Search for an animal \xf0\x9f\x90\xa7\xf0\x9f\xa6\x89\xf0\x9f\xa6\xa9\nA feeling \xf0\x9f\x98\x84\xf0\x9f\xa4\x97\xf0\x9f\xa5\xb3\nEven a color \xf0\x9f\x9a\xa8\xf0\x9f\x8c\xb6\xf0\x9f\x8c\xb9\n\nFind the perfect way to express yourself. Here\xe2\x80\x99s how to search f\xe2\x80\xa6'
203,"b'@AppleSupport Perfect, that wasn\xe2\x80\x99t helpful at all!'"
204,b'@Apple @AppleSupport my sisters iPhone is stuck on Astart up loop with Apple logo.Tried everything to restart but don\xe2\x80\x99t want to recovery mode &amp; lose the data.Can\xe2\x80\x99t sign into iCloud as forgot password &amp; it\xe2\x80\x99s sending help to the iPhone she can\xe2\x80\x99t access &amp; account is now locked. HELP'
205,b'@AppleSupport this seems excessive for \xe2\x80\x9cOther\xe2\x80\x9d storage on my iPhone 7. Any tips or tricks for freeing up these resources? https://t.co/KxAj9V5Qi9'
206,"b'@MadenaP @AppleSupport The cloudy screen could be a portal to another dimension. If so, I will be hunting for mine immediately.'"
207,"b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger HACKED Gboard\n\nYou can see at 15 seconds he swaps screens as the download goes from 0% to over 50% and the ""add language"" option shows back u https://t.co/0nojiQZx96'"
208,"b'@AppleSupport I changed my email on my account, but the email showing on my phone is now the old email. I\xe2\x80\x99m wondering if I log out, then log back in, will I still have all my info and purchases? https://t.co/OLdgVA0uNm'"
209,b'Is there an accessible #a11y version of these instructions? @AppleSupport https://t.co/EL6cil1SIC'
210,b'@GabbieHanna @AppleSupport cancelled'
211,"b'@AppleSupport 5 Row with numbers please,maybe when Snow in Florida'"
212,"b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger Hacker kept hacking my call to the IRS by turning the phone off speaker, blocking the audio on prompts or skipping prompts. He only stopped when I started recording the call but then hacked that app https://t.co/HZMkrSJnnU'"
213,"b'@AppleSupport I have a browser that I\xe2\x80\x99ve deleted off my phone, and went to reinstall it from my Purchased list, but the Store page lists \xe2\x80\x98Open\xe2\x80\x99 as if it were still installed. [1/2]'"
214,b'Time for a regular poke at @AppleSupport as over two years later the iOS stocks app still struggles with basic concepts of months. This time 2 x Jan \xf0\x9f\x98\x82\xf0\x9f\x91\x8d https://t.co/Sg8LMGD73W'
215,"b'@AppleSupport Maybe I\xe2\x80\x99m wrong but I remember on iMessage I could use a normal emoji and paste it above text like sticker, does it still works? Because I couldn\xe2\x80\x99t find it only for Memoji.'"
216,"b""@GoAstroMo @Apple @AppleSupport I'm your fellow folklorist/science chica."""
217,b'@HydroCycler @Apple @AppleSupport No problem \xf0\x9f\x98\x8a Keeping my fingers crossed that keynote adds the feature \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd'
218,"b'@AppleSupport Na, you deserve public shaming for lousy software and non-existent testing :)'"
219,"b'I tried importing a different memory card, and experienced the same error. How can I fix this? @AppleSupport \xf0\x9f\x98\x8c https://t.co/gIfoewktlt'"
220,"b""What the fuck you can't save gifs anymore on iOS 14 @AppleSupport"""
221,b'@GoAstroMo @Apple @AppleSupport Thanks so much for engaging. More things I had not considered fully enough.'
222,b'@AppleSupport \nDo not lose your brand value.Release 2 phones a year Do not do this 13 mini 13 13pro 13pro max.Your brand value is being lost. Be better than otherphones.add this feature. at the same time 3camara working option.focus locking options. add 20x more zooming options.'
223,b'@AppleSupport your apple care is not up to scratch'
224,b'@AppleSupport I\xe2\x80\x99m furious that I\xe2\x80\x99ve wasted a whole day because Apple makes poor courier choices!'
225,"b'@AppleSupport Using the Apple SD card reader to import photos has not worked for a while. The import requires 6,62GB and as you can see I have 61,87GB available. The photos app says I need 4,1GB additional space to import. Tried the same on my girlfriends phone - same problem.. https://t.co/aPdjon14ff'"
226,b'@AppleSupport failed to respond till this evening. Very disappointed with customer care I have received considering expense of Apple care. You should use a courier that takes pride in its service. I paid for quality care that I did not receive'
227,"b""@AppleSupport It's an iPhone 12 Pro running iOS 14.4.1. I did the restart, but the weirdness is still there."""
228,"b""Ugh the Music app on macOS sucks. It doesn't accept my own artwork @AppleSupport"""
229,b'@AppleSupport why is this a problem!!! https://t.co/fcCGyTRFn6'
230,b'@HydroCycler @Apple @AppleSupport Yes! But also for people who find it easier to process written words over speech. And people who might be working through a language barrier. Lots of reasons to do it \xf0\x9f\x98\x8a'
231,b'@Vengefuleaglebv @AppleSupport And it\xe2\x80\x99s a hell of a lot easier than having them on an external drive.'
232,"b""Yesterday I visited to chroma and I saw macbook apple pro @Apple it was so amazing product I ever seen. But it was out of my budget. Even I can't afford to touch it. So I didn't touch but after looking to that I would say no match to that product. @AppleSupport"""
233,b'Seems to be a general bug in Big Sur as I am not the only one having the problem... \xf0\x9f\xa4\x94https://t.co/W5Q1aZ4KO2\n\nVery annoying! Please do something @AppleSupport !'
234,b'RT @hndami1: @tim_cook \nThis is my case number : 101299632484 @Apple @AppStore @AppleSupport'
235,b'RT @hndami1: @tim_cook  Apple team said \xe2\x80\x9c create a new iTunes account and go to any police station to report Apple then will refund your mo\xe2\x80\xa6'
236,b'RT @hndami1: @tim_cook Its been 6 months of calling long distance each call i have to wait more then an hour just to get a reply for my iss\xe2\x80\xa6'
237,"b'@sameerrajakumar @AppleSupport Hello, this is perfect with normal as files need to finish indexing after an update. Give it about 24 to 48 hours after you complete an update and then the temperature should feel normal after that period.'"
238,b'@AppleSupport Sloth \xf0\x9f\xa6\xa5 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
239,b'@GoAstroMo @Apple @AppleSupport The idea being for people deaf or hard of hearing?'
240,"b""@AppleSupport Hi, I don't have anyone elses I can try. This is a known issue that's been discussed on your forums for a while. I have tried different USB outlets, cleaning the watch and charger, I have tried turning my watch off and on, I have tried using a wall outlet instead of usb."""
